2026-01-21 12:03:57,599 main | INFO | APP STARTED
2026-01-21 12:03:57,600 main | DEBUG | initializing methods
2026-01-21 12:03:57,608 main | DEBUG |  user on posix x86_64  
2026-01-21 12:03:57,608 main | INFO | initiated methods
2026-01-21 12:03:57,608 param | INFO | loading param
2026-01-21 12:03:57,609 param | DEBUG | path_to_file : ['path_to_file', '/home/sand/Music/musique/'] 
2026-01-21 12:03:57,609 param | DEBUG | path_to_img : ['path_to_img', 'appdata/image/'] 
2026-01-21 12:03:57,609 param | DEBUG | mode : ['mode', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | sound_manager : ['sound_manager', 'base'] 
2026-01-21 12:03:57,609 param | DEBUG | img : ['img', 'appdata/image/doki/episketch.png'] 
2026-01-21 12:03:57,609 param | DEBUG | repeat : ['repeat', '0'] 
